transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000152562,3114,2068,1955,2050,1868
ENSDART00000043881,77,50,47,63,44
MSTRG.179.2,1,1,0,5,1
ENSDART00000152779,2,0,0,0,3
ENSDART00000029774,24,23,28,31,32
ENSDART00000109141,0,0,0,0,0
ENSDART00000152565,2,0,0,0,0
ENSDART00000103535,0,0,0,0,0
ENSDART00000132076,0,0,0,0,0
ENSDART00000179237,0,0,0,0,0
ENSDART00000040502,0,0,0,0,0
ENSDART00000131294,0,0,0,0,0
ENSDART00000140495,0,0,0,0,0
ENSDART00000139060,0,0,0,0,0
ENSDART00000046283,46,33,32,28,33
ENSDART00000040116,47,44,32,53,57
ENSDART00000186876,12,10,8,9,13
ENSDART00000164541,0,0,0,0,0
ENSDART00000190904,0,0,0,0,0
ENSDART00000103548,0,0,0,0,0
ENSDART00000188958,5,3,0,0,0
ENSDART00000152421,8,5,0,0,0
ENSDART00000152189,6,0,0,0,0
ENSDART00000152438,0,0,0,0,8
ENSDART00000054879,133,113,97,111,93
ENSDART00000139387,710,553,509,502,452
ENSDART00000027050,0,0,0,0,0
ENSDART00000137185,0,0,0,0,0
MSTRG.186.1,43,23,17,36,25
ENSDART00000139749,0,0,0,0,0
ENSDART00000162137,0,0,0,0,0
ENSDART00000167452,6,7,5,0,0
ENSDART00000009886,0,0,4,0,0
ENSDART00000135563,0,0,0,0,1
ENSDART00000138275,0,3,0,1,1
MSTRG.187.9,0,0,0,7,0
MSTRG.187.8,0,1,3,0,2
MSTRG.187.10,0,0,0,0,59
ENSDART00000102903,0,0,0,0,0
MSTRG.187.19,0,13,2,1,0
ENSDART00000120239,0,0,0,0,0
ENSDART00000144095,0,0,0,0,0
ENSDART00000166570,0,0,0,0,0
ENSDART00000170290,326,175,174,181,425
MSTRG.187.2,9,0,0,28,5
MSTRG.187.3,25,7,0,0,13
MSTRG.187.4,665,433,386,400,0
MSTRG.187.5,150,43,0,0,0
ENSDART00000007013,6,0,0,0,3
ENSDART00000141052,2,4,0,0,1
MSTRG.187.13,26,0,0,0,80
ENSDART00000148305,1,2,2,1,1
MSTRG.187.17,6,0,0,60,43
MSTRG.187.18,12,0,10,35,15
ENSDART00000126518,4,0,0,4,1
ENSDART00000131744,1,0,2,1,1
ENSDART00000102923,2,0,0,0,1
ENSDART00000147648,0,0,0,0,0
MSTRG.190.1,98,81,70,80,60
ENSDART00000109858,66,51,50,59,67
ENSDART00000091205,0,0,0,0,0
ENSDART00000144164,0,0,0,0,0
ENSDART00000162060,0,0,0,0,0
ENSDART00000184803,0,0,0,0,0
ENSDART00000188928,0,0,0,0,0
ENSDART00000141238,72,59,48,51,46
MSTRG.192.2,9,5,0,7,14
ENSDART00000140725,1,0,0,1,1
ENSDART00000115316,1,1,0,1,2
ENSDART00000139755,0,1,0,0,2
ENSDART00000054787,0,0,0,0,0
ENSDART00000090689,123,66,76,68,49
ENSDART00000134531,0,0,0,0,0
ENSDART00000142045,0,0,0,0,0
ENSDART00000111041,40,30,33,0,0
MSTRG.197.3,0,9,0,5,0
ENSDART00000147623,78,50,39,51,44
ENSDART00000138355,5,4,0,0,0
ENSDART00000140329,8,2,2,1,1
ENSDART00000033361,1635,741,865,550,455
MSTRG.198.2,116,401,157,345,341
MSTRG.198.3,3,5,3,30,106
ENSDART00000123431,0,0,2,0,8
ENSDART00000163971,94,79,63,78,64
MSTRG.200.2,0,0,40,0,0
ENSDART00000166981,80,46,19,64,55
ENSDART00000193419,2,3,0,1,2
